title,class
"Saudi Aramco IPO: Timing is of the essence, says analyst",nat
"UPDATE 1-Russian Agri Minister, Saudi’s Falih to discuss Russia-Saudi trade",nat
"Russian Agri Minister, Saudi’s Falih to discuss Russia-Saudi trade",nat
Saudi Aramco CEO:  Saudi Aramco IPO on track,nat
Prince Alwaleed Bin Talal: Aramco IPO will be biggest in the world,nat
"OPEC seeking 10-20 year agreement with Russia, says Reuters",nat
Saudi Arabia’s stock exchange completes full inclusion on MSCI emerging markets index,pos
How much investment is needed in energy industry? Experts weigh in,pos
Saudi oil minister on Aramco IPO,nat
Here’s how the Saudi Arabia crackdown could affect Aramco’s IPO plans,nat
Don’t mention the oil price — US legal threat prompts change at OPEC,pos
"GLOBAL MARKETS-Shares fall after Argentina peso tumble, safe-havens shine",nat
Saudi and Russia pledge cooperation on oil market,nat
Aramco IPO in focus,nat
"Saudi Aramco CEO says oil market could see inflection point, confirms IPO still on track ...",nat
2018 is the window we’re looking at for Saudi Aramco IPO: Al-Falih,nat
CCTV Script 22/06/17,nat
Saudi Arabia is stumbling in its efforts to build a global financial center,neg
Trump’s carelessness with the Saudis will force Americans to collude with a cartel,nat
"$50, $55, $60, we need stable crude prices: SABIC CEO",neg
UAE oil giant looks to build regional ‘credibility’ with IPO,nat
"In the Saudi Desert, World’s Business Leaders Follow the Money",nat
Saudi Arabia’s crown prince gets the royal treatment for UK state visit,nat
Saudi Arabia mulls Aramco IPO amid oil slide: The Economist,nat
Saudi crown prince winds down UK visit after a mixed reception,neg
Saudi Arabia aiming for oil in $60 to $70 range: Strategist,nat
Oil inventories expected to build in 2018: Barclays’ Michael Cohen,neg
US oil net imports haven’t done this since 1985: ClipperData’s Matt Smith,nat
There may be a ‘Game of Thrones’ in Saudi Arabia now and that has big ...,neg
Saudi Arabia arrests powerful royals and businessmen in corruption crackdown,pos
Prince Alwaleed Bin Talal: Women driving with help Saudi Arabia’s economy,nat
Fmr. US ambassador Robert Jordan: Prince Alwaleed ‘one step ahead’,nat
Watch CNBC’s full interview with Saudi Prince Alwaleed Bin Talal,pos
Prince Alwaleed Bin Talal:  Saudi Arabia in midst of major overhaul and change,pos
There’s a lot of ‘noise’ around oil and prices,nat
Prince Alwaleed Bin Talal among arrested in Saudi Arabia,nat
Yergin:  Saudis recognize US shale is an important factor in oil market,pos
Oil demand continues to grow: ClipperData’s Matt Smith,nat
Oil prices bounce | Apple wins Singles Day | The Grinch tops the box office,pos
RBC Capital Markets:  Don’t bet against the new Saudi Crown Prince,pos
"Why Saudi Aramco, the world’s largest oil company, is trying to make vehicle engines more ...",pos
Russia and Saudi Arabia have more reasons to extend deal than just oil,pos
"Saudi-US relationship transcends administrations, monarchies and years: CEO",nat
Trump and Saudi Arabia’s millennial prince may have already figured out the art of the ...,nat
Saudi Arabia aims to keep crude in $70 to $80 band: Sources,neg
Saudi Arabia is said to aim to keep crude in $70 to $80 band,neg
Saudi Arabia’s own ‘pivot to Asia’,pos
This investor thinks oil could hit $70,nat
Trump’s energy policy has bearish side: CNBC survey,nat
"$50 oil is coming back soon, but don’t get too excited: RBC Strategist",pos
"Saudi overseas investments give some guarantees, expert says",nat
We cannot allow Saudi Arabia to violate human rights: US senator,nat
Is Saudi Arabia calling the market’s bluff over oil?,nat
"We’re seeing huge transformation in Saudi Arabia, CIO says",pos
Premature to predict a regime change in Iran: Saudi prince,nat
Saudi Prince Turki: Foreign investors are mistaken over Saudi Arabia,neg
Saudi ouster will send oil prices ‘lower for longer’,nat
Saudi Arabia seeks investment for massive infrastructure program,nat
"The kingdom remains open for business, Saudi transport min says",nat
Saudi transport minister: See more foreign investment and transport jobs for Saudis,pos
"Russia is embarking on an ‘amazing, positive journey’ with Saudi Arabia, Russian investment chief says",pos
There’s been too much ‘overbuilding’ in the Middle East: Mobius,pos
Discussing the outlook for Saudi Arabia in the next year,nat
IPOs set for best year in a decade,pos
IPOs 2017: Here’s why issuers are hoping for a big comeback,nat
Trump says the US stands with Saudi Arabia,nat
Saudi foreign minister rejects the CIA assessment on Khashoggi,neg
The impact of the killing of Jamal Khashoggi on Saudi Arabia,nat
Retail tranche of ADNOC offering was 22 times oversubscribed,nat
Saudi Arabia not planning to offer shares in Aramco: Sources,nat
Businesses continue to pull out of the Saudi conference amid Khashoggi’s death,nat
It’s a ‘very inopportune time for a Saudi-US dispute’: Pro,pos
"Inclusion in MSCI index is a ‘big milestone’ for Saudi market, stock exchange boss says",nat
Wall Street is set for a lower open as Trump’s new China tariffs kick in,pos
Billionaire Alwaleed’s bin Talal’s release is a sign that the Saudi bloodless revolution is complete,pos
Saudi Arabia promises a return to ‘moderate Islam’,nat
Why China’s tech giants are better suited to Saudi Arabia than Google and Facebook,pos
"The oil market gets whiplash, and investors should expect more crude volatility",neg
UPDATE 4-Alibaba raises up to $12.9 bln in landmark Hong Kong listing,nat
Saudi Arabia has a $2 trillion reason to play ball with OPEC this fall,nat
"As Saudi Arabia gives back perks to its people, it needs a higher oil price",pos
JPMorgan subsidiary to sell Saudi Investment Bank stake for $203m,nat
"Saudi arrests that swept up princes boosted investor trust, says CEO of world’s biggest oil ...",nat
Former House GOP leader Eric Cantor praises Saudi Arabia’s ‘bold transformation’,pos
"US oil at record output, and investors want companies mindful of ‘boom to bust’ spending",nat
What the Saudi leadership shake-up means for oil prices,nat
"Oil’s ‘artificial’ surge to multi-year highs could spark a new crisis, economist warns",neg
CEO of world’s largest oil company says it will be ‘decades’ before electric cars become ...,nat
"Dow stock Chevron is in a correction, and that may be a buying opportunity",nat
China looked at investing in SoftBank’s $100 billion tech fund,nat
Analysts see $70 oil on horizon,nat
"Energy stocks have been a bright spot, here’s what to buy",pos
Commodities tomorrow: Recent inventory draws could signal strong driving season,pos
Saudi comments on production cuts boost oil,nat
Trader bets crude could hit fresh 4-year high,neg
Saudi crown prince to meet US business leaders,nat
This chart shows oil could soon drop to $55/barrel,nat
Commodities tomorrow: Crude higher on OPEC production decline,neg
Seasonal oil trade could impact crude next week,neg
Commodities tomorrow: Tillerson’s exit could be bullish for crude,neg
Tillerson’s exit has ‘very big implications’ for oil: RBC’s Helima Croft,nat
"There are three options in Saudi Arabia, says NYT’s Tom Friedman",nat
Saudi crown prince visit ‘all about optics’,nat
Stocks close flat as geopolitical tensions remain; energy leads,neg
Saudi crown prince kicks off three-day UK visit,nat
UK and Saudis expected to launch strategic partnership council,neg
Mohammed bin Salman to build strategic relations with important power centers: EIU,pos
UK trying to show that it doesn’t just care about selling arms to Gulf states: ...,nat
UK and Saudi Arabia agree $90.3 billion trade and investment deal,nat
Putin’s power play: Saudi-Russia oil deal leads to bigger Russia role in Middle East,nat
Saudi internal rebalance now resembles China: Capricorn Fund Managers,nat
Why Saudi Prince bin Talal’s ‘friends’ have abandoned him,nat
Top regulator says Saudi reforms carry execution risk but huge opportunities,pos
"Saudi Arabia’s political purge may actually improve the business climate, but comes with huge risk",pos
Billionaire Saudi Prince Alwaleed Bin Talal arrested in corruption crackdown,nat
"Jailed Prince Alwaleed bin Talal, Saudi Arabia’s richest man, is running out of time to ...",nat
The burning questions that investors need to answer for 2018,nat
How Saudi Arabia’s $2T oil company plans on being a world-beater,nat
"OPEC, Russia deal should continue, but so will challenge from US shale: CNBC survey",nat
Saudi Arabia unveils 15-year plan to transform its economy,nat
Here are the 10 most important stories for investors Friday morning,pos
Saudi Arabia’s arrest of Prince Alwaleed ‘would be like arresting Warren Buffett or Bill Gates’ ...,neg
Unlocking Saudi Arabia’s treasures means going beyond oil,nat
Want to dip your toes into the oil market? Here’s how to do it,nat
Here are the 10 most important stories for investors Monday morning,pos
"Oil will crash to $10 a barrel with electric vehicle revolution, strategist says",nat
Oil prices: OPEC may finally take action if crude’s slide continues,neg
Saudi oil min: Cuts are learning process for some countries,nat
Saudi-US ties stronger than ever: Saudi oil min,nat
$360 billion asset manager makes contrarian call on beaten group,nat
CCTV Script 21/06/17,nat
Warren Buffett’s touch gives shares of this troubled Canadian mortgage lender a 10% boost,neg
"Saudi Arabia’s spat with Qatar just a distraction to protect the ruling family, political analyst ...",nat
Asian indexes close mixed as oil struggles,nat
"Liquidity is the liquid of life for the rally, BMO’s Jack Ablin says",nat
CCTV Script 22/05/17,nat
Expert: It’s ‘final exam time’ for OPEC,nat
"Oil prices should grind higher into the $60s later this year, RBC’s Croft says",pos
"OPEC’s next big deal, more data and Washington are all on markets’ minds",pos
"What to watch today: Dow to fall, Boeing CEO on Capitol Hill and Day 1 ...",nat
OPEC’s big three battle for oil market share until the bitter end,neg
Reforms good for Saudi economy: Expert,pos
"OPEC, Russia head to Texas for an away game in oil price wars",neg
Saudi CMA: We need to integrate capital market with rest of world,nat
Saudi Arabia: No change to capital market policy after US election,nat
The long road to Saudi Arabia’s 2030 vision,neg
The billionaire who is saving Bethlehem,nat
Saudi market authority: ‘Encouraged’ by 2016 bond sale,nat
Why Saudi Arabia needs international market integration,nat
This ‘conundrum’ may be signaling a slide in oil prices,nat
Here are the 10 most important stories for investors Wednesday morning,pos
Can the Dow and S&P join the red-hot Nasdaq in record territory?,nat
Why Saudi Arabia surprised the skeptics with an OPEC deal,pos
"Iraq is balking at OPEC’s oil output deal, and Baghdad could get away with it",nat
"Defending oil market share still ‘pre-eminent’ for Saudis, IHS’ Yergin says",nat
OPEC smoke and mirrors’ may be all it needs to boost oil,nat
CCTV Script 27/01/16,nat
The next president must be prepared to act on the Middle East,nat
5 things to know before the stock market opens Tuesday,nat
5 things to know before the stock market opens Monday,nat
"What to watch today: Dow to fall, election forecasts 2020, and North Korea fires missiles",nat
"What to watch today: Dow to rise, Congress returns and states to investigate Google",nat
Brent crude prices jump to the highest since 2014 on rising Middle East tensions,neg
Saudi Arabia says it raised $106 billion from ‘anti-corruption’ drive that swept up royals,nat
S&P 500 is on track to build on its ‘perfect week’,pos
"Saudi Arabia says ready to cut more than 500,000 BPD",pos
Wall Street is set to drift at the open after new US and China tariffs ...,pos
"With big debt deal and rising oil prices, market message is don’t ’bet against the ...",nat
The Nasdaq sprints to a higher open on Wall Street after seven-day win streak,pos
Here’s how the Saudi power players — and Trump — connect to each other,neg
Wall Street’s pause from its record-setting pace is set to continue,nat
Sovereign wealth funds move into real estate amid volatile stock markets,pos
"Oil prices could go south of $40 a barrel if OPEC deal fails, expert says",neg
The Faces of Davos 2011,nat
A 30-year-old prince’s bold vision for Saudi Arabia,pos
"Oil could hit $80 per barrel by the end of 2018, says portfolio manager",nat
Climate change: Did we just witness the beginning of the end of Big Oil?,nat
